Video_Code,Set,Species,Number,Mom,Neighbour,Seed_Type,Seed_Number,Seed_Mass_mg,Plant_ID,Velocity_Vals_m_sec,Data_Index
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.702490614,24
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.735396752,25
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.740897651,26
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.681533891,27
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.722520952,28
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.740599823,29
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.698986428,30
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.765373373,31
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.737181436,32
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.784214992,33
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.764565318,34
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.794981552,35
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.74047279,36
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.791777169,37
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.79976396,38
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,0.637713113,39
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,40
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,41
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,42
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,43
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,44
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,45
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,46
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,47
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,48
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,49
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,50
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,51
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,52
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,53
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,54
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,55
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,56
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,57
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,58
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,59
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,60
Acal1m1n3d3,A,cal,1,1,3,d,3,0.041,Acal1m1n3,NA,61
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.418465985,1
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.460054468,2
