Video_Code,Set,Number,Mom,Neighbour,Seed_Type,Seed_Number,Seed_Mass_mg,Plant_ID,Num_Vals,Velocity_Vals_m_sec,Species,Pappus_base_width_f,Pappus_tip_width_f,Achene_tip_width_f,Achene_mid_width_f,Achene_length_lin_f,Achene_twopt_length_f,Achene_twopt_angle_f,Achene_max_width_f,Pappus_perp_max_length_f,Pappus_base_width_s,Pappus_tip_width_s,Achene_tip_width_s,Achene_mid_width_s,Achene_length_lin_s,Achene_twopt_length_s,Achene_twopt_angle_s,Achene_max_width_s,Pappus_perp_max_length_s,pappus_tip_area,Achene.twopt.angle.dev.max,pap.tip.cyp.max.area.ratio,pap.tip.pap.base.area.ratio,Pap.len.ach.len.ratio,pap.tip.ecc,coneSA
Dcal1m2n1r2,D,1,2,1,r,2,0.1,Dcal1m2n1,19,1.39437558,L. californica,0.295,1.099,0.226,0.299,1.541,1.56,169.982,0.378,1.795,0.33,1.208,0.247,0.358,1.568,1.606,159.957,0.415,1.871,1.042688318541214,20.043000000000006,8.463007585899152,13.637308680020546,1.1791572853007397,0.41511661082028745,0.7674857430148361
Dcal1m2n3d1,D,1,2,3,d,1,0.054,Dcal1m2n3,24,1.04520508,L. californica,0.202,0.777,0.156,0.163,1.148,1.156,178.734,0.201,1.558,0.268,1.201,0.194,0.342,1.17,1.172,176.881,0.369,1.685,0.7329155019247889,3.1189999999999998,12.5817659669134,17.237642234372693,1.3990509059534084,0.7625232048506042,0.4320595562592472
Dcal1m2n3d2,D,1,2,3,d,2,0.02,Dcal1m2n3,51,0.560870159,L. californica,0.205,0.807,0.168,0.221,1.166,1.173,177.418,0.234,1.563,0.236,0.685,0.18,0.322,1.168,1.184,169.428,0.333,1.531,0.4341641777353211,10.572000000000003,7.0942095942095955,11.426105828854903,1.3256212510711227,0.5286774568285468,0.40648655606157735
Dcal1m2n3d3,D,1,2,3,d,3,0.058,Dcal1m2n3,18,1.326493292,L. californica,0.211,0.623,0.194,0.261,1.239,1.259,176.153,0.284,1.527,0.25,1.017,0.196,0.328,1.243,1.244,175,0.356,1.509,0.49762120774518537,5,6.266725352112676,12.011203791469194,1.2232070910556,0.7904039137211389,0.45204070507693206
Dcal1m2n3r1,D,1,2,3,r,1,0.029,Dcal1m2n3,39,0.686141253,L. californica,0.197,0.688,0.191,0.236,1.168,1.186,159.153,0.269,1.497,0.199,0.852,0.183,1.192,1.193,1.208,159.245,0.206,1.263,0.4603815538276929,20.84700000000001,10.57812105244162,14.95232507716246,1.1689961880559085,0.5898515020436752,0.36844748358518464
Dcal1m2n3r2,D,1,2,3,r,2,0.058,Dcal1m2n3,28,0.917939565,L. californica,0.218,1.329,0.187,0.227,1.191,1.198,176.331,0.231,1.486,0.224,0.895,0.174,0.266,1.257,1.277,163.762,0.29,1.329,0.9341957724439733,16.238,17.755709807433945,24.358105340760154,1.1499183006535947,0.7392430926811568,0.42665370879733344
Dcal1m2n3r3,D,1,2,3,r,3,0.057,Dcal1m2n3,17,1.363452903,L. californica,0.236,1.246,0.194,0.232,1.036,1.039,166.31,0.227,1.584,0.229,1.342,0.194,0.276,1.122,1.121,167.025,0.282,1.457,1.3132894017581886,13.689999999999998,26.121348455025466,30.940196876619055,1.4091751621872104,0.3714199581149382,0.3963636335697006
Dfre1m1n4d1,D,1,1,4,d,1,0.022,Dfre1m1n4,22,1.073868039,L. fremontii,0.255,0.676,0.146,0.196,1.09,1.088,172.013,0.232,1.518,0.293,1.051,0.138,0.28,1.108,1.119,167.388,0.305,1.44,0.5580065455380022,12.611999999999995,10.04064443188242,9.509148096098508,1.3457688808007278,0.7657007749229828,0.4772067253352629
Dfre1m1n4d2,D,1,1,4,d,2,0.044,Dfre1m1n4,19,1.235370749,L. fremontii,0.246,0.717,0.147,0.253,1.063,1.071,176.956,0.293,1.345,0.255,0.842,0.141,0.251,1.097,1.103,172.085,0.264,1.274,0.4741558668173583,7.914999999999992,7.804762643499844,9.624007651841223,1.2125,0.5242832375273396,0.42784416123072333
Dfre1m1n4d3,D,1,1,4,d,3,0.027,Dfre1m1n4,21,1.199033034,L. fremontii,0.24,0.769,0.149,0.156,1.152,1.152,178.431,0.232,1.625,0.281,1.041,0.129,0.254,1.171,1.168,173.589,0.284,1.586,0.6287340063464373,6.411000000000001,12.149845191840699,11.870240213523129,1.3822643133878607,0.6740203515571574,0.47895999052662147
Dfre1m1n4r1,D,1,1,4,r,1,0.093,Dfre1m1n4,12,1.635960065,L. fremontii,0.297,0.907,0.173,0.322,1.396,1.392,176.618,0.379,1.455,0.257,0.723,0.146,0.279,1.378,1.402,172.737,0.28,1.407,0.515033485027708,7.263000000000005,6.1794289483603455,8.591243171009706,1.0317231434751262,0.6038032226698323,0.6072592057219832
Dfre1m1n4r2,D,1,1,4,r,2,0.078,Dfre1m1n4,17,1.356833801,L. fremontii,0.317,1,0.134,0.333,1.252,1.261,169.037,0.363,1.268,0.245,0.613,0.173,0.262,1.295,1.306,165.638,0.262,1.317,0.4814490741626675,14.361999999999995,6.445439825037326,7.8928732376231245,1.0149195131527289,0.7900829070420394,0.5677371194960678
Dfre1m1n4r3,D,1,1,4,r,3,0.057,Dfre1m1n4,14,1.447229513,L. fremontii,0.321,0.968,0.136,0.361,1.456,1.466,169.475,0.401,1.305,0.304,0.735,0.202,0.316,1.49,1.514,159.861,0.328,1.288,0.5587950852940533,20.13900000000001,5.409342497414999,7.290949335956714,0.8801765105227428,0.6507436324066643,0.7272422898359082
Dfre1m1n5d1,D,1,1,5,d,1,0.016,Dfre1m1n5,37,0.691760319,L. fremontii,0.226,0.479,0.178,0.232,0.985,0.984,167.846,0.238,1.568,0.242,0.61,0.173,0.255,0.963,0.971,172.207,0.282,1.647,0.22948548936311552,12.153999999999996,4.3535073603909655,5.342463248738389,1.6504106776180698,0.619184038843552,0.36068270872668495
Dfre1m1n5d2,D,1,1,5,d,2,0.035,Dfre1m1n5,16,1.373056241,L. fremontii,0.223,0.956,0.139,0.228,0.956,0.946,170.788,0.252,1.51,0.249,0.948,0.166,0.272,0.945,0.944,171.747,0.292,1.619,0.7117969307091935,9.211999999999989,12.316373124592305,16.321573288670375,1.6459758022093636,0.1290983148162471,0.35531580487703196
Dfre1m1n5d3,D,1,1,5,d,3,0.04,Dfre1m1n5,21,1.085571241,L. fremontii,0.23,0.293,0.163,0.219,0.967,0.967,168.511,0.257,1.625,0.238,0.565,0.175,0.254,0.961,0.974,157.698,0.276,1.668,0.1300187389596391,22.301999999999992,2.3338549596796923,3.0242053343076356,1.70798755186722,0.8550266437463642,0.3569587317611682
Dfre1m1n5r1,D,1,1,5,r,1,0.054,Dfre1m1n5,18,1.242532287,L. fremontii,0.248,0.538,0.179,0.292,1.092,1.091,172.69,0.31,1.219,0.211,0.375,0.193,0.214,1.072,1.082,166.232,0.232,1.207,0.15845407946544562,13.768,2.80520022246941,3.855488457422412,1.1210720887245842,0.7170458313315147,0.3928551227934185
Dfre1m1n5r2,D,1,1,5,r,2,0.051,Dfre1m1n5,15,1.415667166,L. fremontii,0.203,0.871,0.194,0.215,0.984,0.988,170.3,0.229,1.681,0.25,0.834,0.182,0.274,1.026,1.047,162.598,0.289,1.543,0.5705242214662315,17.401999999999987,10.976171408712469,14.3135763546798,1.6039800995024878,0.2883665613529694,0.36074780544814306
Dfre1m1n5r3,D,1,1,5,r,3,0.049,Dfre1m1n5,12,1.557324556,L. fremontii,0.224,0.997,0.179,0.26,0.984,0.99,173.075,0.293,1.493,0.224,0.801,0.155,0.197,1.045,1.064,162.078,0.251,1.537,0.6272166170947533,17.921999999999997,10.858912472974994,15.915915975765303,1.4933464760965995,0.5954258990162461,0.35912904927857764
