Video_Code,Set,Species,Number,Mom,Neighbour,Seed_Type,Seed_Number,Seed_Mass_mg,Plant_ID,Num_Vals,Velocity_Vals_m_sec
Gfre1m1n1r3,G,fre,1,1,1,r,3,0.053,Gfre1m1n1,18,1.206910343
Gfre1m2n4d1,G,fre,1,2,4,d,1,0.051,Gfre1m2n4,20,1.22893859
Gfre1m2n4d2,G,fre,1,2,4,d,2,0.057,Gfre1m2n4,22,1.10056418
Gfre1m2n4d3,G,fre,1,2,4,d,3,0.136,Gfre1m2n4,10,1.774935067
Gfre1m2n4r1,G,fre,1,2,4,r,1,0.046,Gfre1m2n4,17,1.289129978
Gfre1m2n4r2,G,fre,1,2,4,r,2,0.047,Gfre1m2n4,21,1.188697476
Gfre1m2n4r3,G,fre,1,2,4,r,3,0.116,Gfre1m2n4,16,1.345199146
Hfre1m2n2d1,H,fre,1,2,2,d,1,0.047,Hfre1m2n2,18,1.349683121
Hfre1m2n2d2,H,fre,1,2,2,d,2,0.059,Hfre1m2n2,14,1.669296824
Hfre1m2n2d3,H,fre,1,2,2,d,3,0.058,Hfre1m2n2,16,1.509302124
Hfre1m2n2r1,H,fre,1,2,2,r,1,0.064,Hfre1m2n2,11,1.850668377
Hfre1m2n2r2,H,fre,1,2,2,r,2,0.071,Hfre1m2n2,18,1.40894099
Hfre1m2n2r3,H,fre,1,2,2,r,3,0.072,Hfre1m2n2,19,1.335187874
Hfre1m2n3d1,H,fre,1,2,3,d,1,0.058,Hfre1m2n3,12,1.831443188
Hfre1m2n3d2,H,fre,1,2,3,d,2,0.055,Hfre1m2n3,17,1.376304341
Hfre1m2n3d3,H,fre,1,2,3,d,3,0.06,Hfre1m2n3,17,1.334028995
Hfre1m2n3r1,H,fre,1,2,3,r,1,0.072,Hfre1m2n3,19,1.240304276
Hfre1m2n3r2,H,fre,1,2,3,r,2,0.055,Hfre1m2n3,21,1.173225884
Hfre1m2n3r3,H,fre,1,2,3,r,3,0.073,Hfre1m2n3,18,1.377911084
Bgla1m2n2d1,B,gla,1,2,2,d,1,0.134,Bgla1m2n2,22,1.103834788
Bgla1m2n2d2,B,gla,1,2,2,d,2,0.079,Bgla1m2n2,13,1.53882704
Bgla1m2n2d3,B,gla,1,2,2,d,3,0.068,Bgla1m2n2,19,1.270688497
Bgla1m2n4d1,B,gla,1,2,4,d,1,0.136,Bgla1m2n4,19,1.076269462
Bgla1m2n4d2,B,gla,1,2,4,d,2,0.17,Bgla1m2n4,17,1.156466993
Bgla1m2n4d3,B,gla,1,2,4,d,3,0.191,Bgla1m2n4,13,1.511067577
Cgla1m1n1d1,C,gla,1,1,1,d,1,0.138,Cgla1m1n1,20,1.177895517
Cgla1m1n1d2,C,gla,1,1,1,d,2,0.035,Cgla1m1n1,43,0.665442612
Cgla1m1n1d3,C,gla,1,1,1,d,3,0.049,Cgla1m1n1,31,0.827407873
Cgla2m2n1d1,C,gla,2,2,1,d,1,0.149,Cgla2m2n1,16,1.458687321
Cgla2m2n1d2,C,gla,2,2,1,d,2,0.17,Cgla2m2n1,9,1.962202357
Cgla2m2n1d3,C,gla,2,2,1,d,3,0.149,Cgla2m2n1,14,1.509819982
Dgla1m1n2d1,D,gla,1,1,2,d,1,0.191,Dgla1m1n2,17,1.424317418
Dgla1m1n2d2,D,gla,1,1,2,d,2,0.092,Dgla1m1n2,22,1.08323639
Dgla1m1n2d3,D,gla,1,1,2,d,3,0.429,Dgla1m1n2,9,2.112953513
Dgla1m2n4d1,D,gla,1,2,4,d,1,0.172,Dgla1m2n4,13,1.646265559
Dgla1m2n4d2,D,gla,1,2,4,d,2,0.194,Dgla1m2n4,13,1.654569684
Dgla1m2n4d3,D,gla,1,2,4,d,3,0.141,Dgla1m2n4,16,1.326745795
Egla1m1n2d1,E,gla,1,1,2,d,1,0.329,Egla1m1n2,16,1.610111499
Egla1m1n2d2,E,gla,1,1,2,d,2,0.145,Egla1m1n2,11,1.829562263
Egla1m1n2d3,E,gla,1,1,2,d,3,0.103,Egla1m1n2,20,1.309731115
Egla1m1n4d1,E,gla,1,1,4,d,1,0.142,Egla1m1n4,20,1.258185202
Egla1m1n4d2,E,gla,1,1,4,d,2,0.213,Egla1m1n4,16,1.537713185
Egla1m1n4d3,E,gla,1,1,4,d,3,0.199,Egla1m1n4,21,1.181593595
Ggla1m1n4d1,G,gla,1,1,4,d,1,0.17,Ggla1m1n4,13,1.724388285
Ggla1m1n4d2,G,gla,1,1,4,d,2,0.096,Ggla1m1n4,23,1.079697491
Ggla1m1n4d3,G,gla,1,1,4,d,3,0.183,Ggla1m1n4,13,1.683182007
Ggla1m1n5d1,G,gla,1,1,5,d,1,0.114,Ggla1m1n5,21,1.178399449
Ggla1m1n5d2,G,gla,1,1,5,d,2,0.114,Ggla1m1n5,19,1.277047405
Ggla1m1n5d3,G,gla,1,1,5,d,3,0.094,Ggla1m1n5,20,1.233277665
Hgla1m2n2d1,H,gla,1,2,2,d,1,0.128,Hgla1m2n2,15,1.406476946
Hgla1m2n2d2,H,gla,1,2,2,d,2,0.106,Hgla1m2n2,17,1.421236661
Hgla1m2n2d3,H,gla,1,2,2,d,3,0.116,Hgla1m2n2,18,1.369591624
Hgla1m2n4d1,H,gla,1,2,4,d,1,0.254,Hgla1m2n4,17,1.418196944
Hgla1m2n4d2,H,gla,1,2,4,d,2,0.229,Hgla1m2n4,11,1.840309624
Hgla1m2n4d3,H,gla,1,2,4,d,3,0.272,Hgla1m2n4,16,1.533810982
