Full ID,Species,Measurement type,Length
HglaT2M2,gla,Full Length Branch 4,NA
HglaT2M2,gla,Full Length Branch 5,NA
HglaT2M2,gla,Full Length Branch 6,NA
HglaT2M2,gla,Full Length Branch 7,NA
IcalT1M2,cal,Full Length Main Branch,104.035
IcalT1M2,cal,Full Length Branch 2,NA
IcalT1M2,cal,Full Length Branch 3,NA
IcalT1M2,cal,Full Length Branch 4,NA
IcalT1M2,cal,Full Length Branch 5,NA
IcalT1M2,cal,Full Length Branch 6,NA
IcalT1M2,cal,Full Length Branch 7,NA
IcalT2M2,cal,Full Length Main Branch,121.179
IcalT2M2,cal,Full Length Branch 2,NA
IcalT2M2,cal,Full Length Branch 3,NA
IcalT2M2,cal,Full Length Branch 4,NA
IcalT2M2,cal,Full Length Branch 5,NA
IcalT2M2,cal,Full Length Branch 6,NA
IcalT2M2,cal,Full Length Branch 7,NA
IcalT2M3,cal,Full Length Main Branch,141.193
IcalT2M3,cal,Full Length Branch 2,NA
IcalT2M3,cal,Full Length Branch 3,NA
IcalT2M3,cal,Full Length Branch 4,NA
IcalT2M3,cal,Full Length Branch 5,NA
IcalT2M3,cal,Full Length Branch 6,NA
IcalT2M3,cal,Full Length Branch 7,NA
IfreT1M1,fre,Full Length Main Branch,126.633
IfreT1M1,fre,Full Length Branch 2,NA
IfreT1M1,fre,Full Length Branch 3,NA
IfreT1M1,fre,Full Length Branch 4,NA
IfreT1M1,fre,Full Length Branch 5,NA
IfreT1M1,fre,Full Length Branch 6,NA
IfreT1M1,fre,Full Length Branch 7,NA
IfreT1M2,fre,Full Length Main Branch,138.238
IfreT1M2,fre,Full Length Branch 2,NA
IfreT1M2,fre,Full Length Branch 3,NA
IfreT1M2,fre,Full Length Branch 4,NA
IfreT1M2,fre,Full Length Branch 5,NA
IfreT1M2,fre,Full Length Branch 6,NA
IfreT1M2,fre,Full Length Branch 7,NA
IfreT2M3,fre,Full Length Main Branch,146.072
IfreT2M3,fre,Full Length Branch 2,NA
IfreT2M3,fre,Full Length Branch 3,NA
IfreT2M3,fre,Full Length Branch 4,NA
IfreT2M3,fre,Full Length Branch 5,NA
IfreT2M3,fre,Full Length Branch 6,NA
IfreT2M3,fre,Full Length Branch 7,NA
IglaT1M1,gla,Full Length Main Branch,314.532
IglaT1M1,gla,Full Length Branch 2,367.169
IglaT1M1,gla,Full Length Branch 3,279.203
IglaT1M1,gla,Full Length Branch 4,NA
IglaT1M1,gla,Full Length Branch 5,NA
IglaT1M1,gla,Full Length Branch 6,NA
IglaT1M1,gla,Full Length Branch 7,NA
IglaT1M2,gla,Full Length Main Branch,275.11
IglaT1M2,gla,Full Length Branch 2,287.481
IglaT1M2,gla,Full Length Branch 3,NA
