Full ID,Species,SppID,Hub,Transect,Mom,Wind_speed_1m,Wind_speed_10cm,Time,Day,prop_speed
JcalT2M3,L. californica,cal,J,2,3,7.08,2.36,16:21:00,8,0.3333333333333333
JcalT2M3,L. californica,cal,J,2,3,7.42,2.18,16:21:00,8,0.29380053908355797
JcalT2M3,L. californica,cal,J,2,3,7.59,2.36,16:21:00,8,0.31093544137022394
JcalT2M3,L. californica,cal,J,2,3,5.7,1.29,16:21:00,8,0.22631578947368422
JcalT2M3,L. californica,cal,J,2,3,7.08,2,16:21:00,8,0.2824858757062147
FfreT1M3,L. fremontii,fre,F,1,3,2.54,1.43,16:15:00,8,0.562992125984252
FfreT1M3,L. fremontii,fre,F,1,3,3.77,2,16:15:00,8,0.5305039787798409
FfreT1M3,L. fremontii,fre,F,1,3,7.42,1.72,16:15:00,8,0.23180592991913745
FfreT1M3,L. fremontii,fre,F,1,3,4.82,1.29,16:15:00,8,0.2676348547717842
FglaT2M3,L. glaberrima,gla,F,2,3,3.94,1.72,16:08:00,8,0.4365482233502538
FglaT2M3,L. glaberrima,gla,F,2,3,4.47,2.18,16:08:00,8,0.4876957494407159
FglaT2M3,L. glaberrima,gla,F,2,3,2.71,1.86,16:08:00,8,0.6863468634686347
FglaT2M3,L. glaberrima,gla,F,2,3,3.59,2,16:08:00,8,0.5571030640668524
FglaT2M3,L. glaberrima,gla,F,2,3,3.94,2,16:08:00,8,0.5076142131979695
AcalT2M3,L. californica,cal,A,2,3,5.36,1.29,07:12:00,14,0.24067164179104478
AcalT2M3,L. californica,cal,A,2,3,6.04,1.15,07:12:00,14,0.19039735099337746
AcalT2M3,L. californica,cal,A,2,3,6.73,1.86,07:12:00,14,0.2763744427934621
AcalT2M3,L. californica,cal,A,2,3,5.87,1.86,07:12:00,14,0.31686541737649065
AcalT2M3,L. californica,cal,A,2,3,4.65,1,07:12:00,14,0.2150537634408602
AfreT2M1,L. fremontii,fre,A,2,1,5.36,1.43,06:54:00,14,0.26679104477611937
AfreT2M1,L. fremontii,fre,A,2,1,6.9,1.86,06:54:00,14,0.26956521739130435
AfreT2M1,L. fremontii,fre,A,2,1,4.47,1.43,06:54:00,14,0.319910514541387
AfreT2M1,L. fremontii,fre,A,2,1,4.12,1.43,06:54:00,14,0.34708737864077666
AfreT2M1,L. fremontii,fre,A,2,1,4.82,1.29,06:54:00,14,0.2676348547717842
AfreT2M3,L. fremontii,fre,A,2,3,4.3,2.71,06:51:00,14,0.6302325581395349
AfreT2M3,L. fremontii,fre,A,2,3,4.3,1.57,06:51:00,14,0.36511627906976746
AfreT2M3,L. fremontii,fre,A,2,3,6.56,2.71,06:51:00,14,0.413109756097561
AfreT2M3,L. fremontii,fre,A,2,3,8.11,3.24,06:51:00,14,0.39950678175092486
