Full ID,Species,SppID,Hub,Transect,Mom,Pin,Distance,Angle_Comp,Angle_Deg_fromN,Angle_Rad_fromN,Angle_Deg_fromE,Angle_Rad_fromE,Notes
CcalT2M1,L. californica,cal,C,2,1,9,9.1,3,56.25,0.98,33.75,0.59,
CcalT2M1,L. californica,cal,C,2,1,10,8.5,3,56.25,0.98,33.75,0.59,
CcalT2M1,L. californica,cal,C,2,1,11,8.9,3,56.25,0.98,33.75,0.59,
CcalT2M1,L. californica,cal,C,2,1,12,9,3,56.25,0.98,33.75,0.59,
CcalT2M1,L. californica,cal,C,2,1,13,9.25,3,56.25,0.98,33.75,0.59,
CcalT2M1,L. californica,cal,C,2,1,14,11.75,3,56.25,0.98,33.75,0.59,
CcalT2M1,L. californica,cal,C,2,1,15,12.1,3,56.25,0.98,33.75,0.59,
CcalT2M1,L. californica,cal,C,2,1,16,12.05,3,56.25,0.98,33.75,0.59,
CcalT2M1,L. californica,cal,C,2,1,17,13.8,3,56.25,0.98,33.75,0.59,
CcalT2M1,L. californica,cal,C,2,1,18,15.1,3,56.25,0.98,33.75,0.59,
CcalT2M1,L. californica,cal,C,2,1,19,10,5,101.25,1.77,168.75,2.95,
CcalT2M1,L. californica,cal,C,2,1,20,9.6,4,78.75,1.37,11.25,0.2,
CcalT2M1,L. californica,cal,C,2,1,21,9.45,4,78.75,1.37,11.25,0.2,
CcalT2M1,L. californica,cal,C,2,1,22,9.95,4,78.75,1.37,11.25,0.2,
CcalT2M1,L. californica,cal,C,2,1,23,10.15,5,101.25,1.77,168.75,2.95,
CcalT2M1,L. californica,cal,C,2,1,24,9.8,4,78.75,1.37,11.25,0.2,
CcalT2M2,L. californica,cal,C,2,2,NA,NA,NA,NA,NA,NA,NA,NA
CcalT2M3,L. californica,cal,C,2,3,NA,NA,NA,NA,NA,NA,NA,NA
CfreT1M1,L. fremontii,fre,C,1,1,1,0.7,4,78.75,1.37,11.25,0.2,
CfreT1M1,L. fremontii,fre,C,1,1,2,1.2,4,78.75,1.37,11.25,0.2,
CfreT1M1,L. fremontii,fre,C,1,1,3,1.9,4,78.75,1.37,11.25,0.2,
CfreT1M1,L. fremontii,fre,C,1,1,4,4.6,3,56.25,0.98,33.75,0.59,
CfreT1M1,L. fremontii,fre,C,1,1,5,6,7,146.25,2.55,303.75,5.3,
CfreT1M1,L. fremontii,fre,C,1,1,6,3.7,16,348.75,6.09,101.25,1.77,
CfreT1M1,L. fremontii,fre,C,1,1,7,5.5,15,326.25,5.69,123.75,2.16,
CfreT1M1,L. fremontii,fre,C,1,1,8,3.8,13,281.25,4.91,168.75,2.95,
