"","Full.ID","Species","SppID","Hub","Transect","Mom","Pin","Distance","Angle_Comp","Angle_Deg_fromN","Angle_Rad_fromN","Angle_Deg_fromE","Angle_Rad_fromE","Notes","Dist_x","Dist_y","mean_Dist_x","mean_Dist_y","ptcentdist"
"84","BglaT2M2","L. glaberrima","gla","B",2,2,3,12.6,2,33.75,0.59,56.25,0.98,"",7.01848408925434,10.4642668681988,7.20738738072781,7.77687848934382,2.69401944171427
"85","BglaT2M2","L. glaberrima","gla","B",2,2,4,13.2,2,33.75,0.59,56.25,0.98,"",7.35269761731407,10.962565290494,7.20738738072781,7.77687848934382,3.1889991313701
"86","BglaT2M3","L. glaberrima","gla","B",2,3,1,9.7,15,326.25,5.69,123.75,2.16,"",-5.39028171863094,8.06441956955323,-7.28899494688402,9.62473024844106,2.45757631372754
"87","BglaT2M3","L. glaberrima","gla","B",2,3,2,11.35,15,326.25,5.69,123.75,2.16,"",-6.30718530994445,9.43620227983805,-7.28899494688402,9.62473024844106,0.999746446921912
"88","BglaT2M3","L. glaberrima","gla","B",2,3,3,13.1,14,303.75,5.3,146.25,2.55,"",-10.8737013115814,7.30565669782756,-7.28899494688402,9.62473024844106,4.26945217261618
"89","BglaT2M3","L. glaberrima","gla","B",2,3,4,12.45,15,326.25,5.69,123.75,2.16,"",-6.91845437082013,10.3507240866946,-7.28899494688402,9.62473024844106,0.815087339916329
"90","BglaT2M3","L. glaberrima","gla","B",2,3,5,11.7,15,326.25,5.69,123.75,2.16,"",-6.50168001113217,9.72718649111059,-7.28899494688402,9.62473024844106,0.793953455638244
"91","BglaT2M3","L. glaberrima","gla","B",2,3,6,13.2,15,326.25,5.69,123.75,2.16,"",-7.33522873050809,10.9742616822786,-7.28899494688402,9.62473024844106,1.3503231663805
"92","BglaT2M3","L. glaberrima","gla","B",2,3,7,13.85,15,326.25,5.69,123.75,2.16,"",-7.69643317557099,11.5146609317848,-7.28899494688402,9.62473024844106,1.93335043332541
"93","CcalT1M2","L. californica","cal","C",1,2,1,5.2,14,303.75,5.3,146.25,2.55,"",-4.31627838322316,2.89995533043537,0.69162922301372,0.896595538485169,5.39375463370442
