Full_ID,SppID,Hub,Transect,Mom,Pin,Distance,ptcentdist,max_surveg_length_mm,surveg_mass_g,mat_mass_mg,non_na_count,n_inflor,mean_speed_1m,mean_speed_10cm,mean_prop_speed_pcnt,mean_surveg_length_cm,veg_density_g_msqr,main_stem_length_cm,tot_mat_length_cm,mean_inflor_height_cm,var_inflor_height_cm,rel_inflor_height_svheight
BglaT2M3,gla,B,2,3,5,11.7,0.79,197.686,0.989,17.88,2,2,6.002,3.498,63.71,16.61,1.157,20.43,32.35,21.14,1.52,127.27
BglaT2M3,gla,B,2,3,6,13.2,1.35,197.686,0.989,17.88,2,2,6.002,3.498,63.71,16.61,1.157,20.43,32.35,21.14,1.52,127.27
BglaT2M3,gla,B,2,3,7,13.85,1.93,197.686,0.989,17.88,2,2,6.002,3.498,63.71,16.61,1.157,20.43,32.35,21.14,1.52,127.27
CcalT1M2,cal,C,1,2,1,5.2,5.39,432.157,3.89,38.5,3,3,3.416,0.59,16.84,20.26,3.731,17.19,29.41,15.85,2.35,78.23
CcalT1M2,cal,C,1,2,2,4.2,4.42,432.157,3.89,38.5,3,3,3.416,0.59,16.84,20.26,3.731,17.19,29.41,15.85,2.35,78.23
CcalT1M2,cal,C,1,2,3,5.75,5.93,432.157,3.89,38.5,3,3,3.416,0.59,16.84,20.26,3.731,17.19,29.41,15.85,2.35,78.23
CcalT1M2,cal,C,1,2,4,4.3,5.39,432.157,3.89,38.5,3,3,3.416,0.59,16.84,20.26,3.731,17.19,29.41,15.85,2.35,78.23
CcalT1M2,cal,C,1,2,5,3.55,4.38,432.157,3.89,38.5,3,3,3.416,0.59,16.84,20.26,3.731,17.19,29.41,15.85,2.35,78.23
CcalT1M2,cal,C,1,2,6,3.95,4.77,432.157,3.89,38.5,3,3,3.416,0.59,16.84,20.26,3.731,17.19,29.41,15.85,2.35,78.23
CcalT1M2,cal,C,1,2,7,4.8,5.61,432.157,3.89,38.5,3,3,3.416,0.59,16.84,20.26,3.731,17.19,29.41,15.85,2.35,78.23
CcalT1M2,cal,C,1,2,8,7.3,7.74,432.157,3.89,38.5,3,3,3.416,0.59,16.84,20.26,3.731,17.19,29.41,15.85,2.35,78.23
CcalT1M2,cal,C,1,2,9,4.25,4.33,432.157,3.89,38.5,3,3,3.416,0.59,16.84,20.26,3.731,17.19,29.41,15.85,2.35,78.23
CcalT1M2,cal,C,1,2,10,5.1,5.7,432.157,3.89,38.5,3,3,3.416,0.59,16.84,20.26,3.731,17.19,29.41,15.85,2.35,78.23
CcalT1M2,cal,C,1,2,11,4.3,4.91,432.157,3.89,38.5,3,3,3.416,0.59,16.84,20.26,3.731,17.19,29.41,15.85,2.35,78.23
CcalT1M2,cal,C,1,2,12,4.15,4.77,432.157,3.89,38.5,3,3,3.416,0.59,16.84,20.26,3.731,17.19,29.41,15.85,2.35,78.23
CcalT1M2,cal,C,1,2,13,4.15,3.38,432.157,3.89,38.5,3,3,3.416,0.59,16.84,20.26,3.731,17.19,29.41,15.85,2.35,78.23
CcalT1M2,cal,C,1,2,14,6.2,5.4,432.157,3.89,38.5,3,3,3.416,0.59,16.84,20.26,3.731,17.19,29.41,15.85,2.35,78.23
CcalT1M2,cal,C,1,2,15,7.4,6.59,432.157,3.89,38.5,3,3,3.416,0.59,16.84,20.26,3.731,17.19,29.41,15.85,2.35,78.23
CcalT1M2,cal,C,1,2,16,7.2,6.14,432.157,3.89,38.5,3,3,3.416,0.59,16.84,20.26,3.731,17.19,29.41,15.85,2.35,78.23
CcalT1M2,cal,C,1,2,17,6.8,5.74,432.157,3.89,38.5,3,3,3.416,0.59,16.84,20.26,3.731,17.19,29.41,15.85,2.35,78.23
CcalT1M2,cal,C,1,2,18,8.3,7.3,432.157,3.89,38.5,3,3,3.416,0.59,16.84,20.26,3.731,17.19,29.41,15.85,2.35,78.23
CcalT1M2,cal,C,1,2,19,9.65,8.65,432.157,3.89,38.5,3,3,3.416,0.59,16.84,20.26,3.731,17.19,29.41,15.85,2.35,78.23
CcalT1M3,cal,C,1,3,1,3.4,3.92,388.84,2.47,10.77,1,1,7.772,0.83,10.94,19.95,2.405,18.13,18.13,18.13,NA,90.88
CcalT1M3,cal,C,1,3,2,1.6,4.87,388.84,2.47,10.77,1,1,7.772,0.83,10.94,19.95,2.405,18.13,18.13,18.13,NA,90.88
CcalT1M3,cal,C,1,3,3,8.25,5.24,388.84,2.47,10.77,1,1,7.772,0.83,10.94,19.95,2.405,18.13,18.13,18.13,NA,90.88
CcalT1M3,cal,C,1,3,4,4.05,1.37,388.84,2.47,10.77,1,1,7.772,0.83,10.94,19.95,2.405,18.13,18.13,18.13,NA,90.88
CcalT1M3,cal,C,1,3,5,4,1.07,388.84,2.47,10.77,1,1,7.772,0.83,10.94,19.95,2.405,18.13,18.13,18.13,NA,90.88
CcalT1M3,cal,C,1,3,6,4.6,2.53,388.84,2.47,10.77,1,1,7.772,0.83,10.94,19.95,2.405,18.13,18.13,18.13,NA,90.88
CcalT1M3,cal,C,1,3,7,5.7,1.16,388.84,2.47,10.77,1,1,7.772,0.83,10.94,19.95,2.405,18.13,18.13,18.13,NA,90.88
CcalT1M3,cal,C,1,3,8,5.9,1.7,388.84,2.47,10.77,1,1,7.772,0.83,10.94,19.95,2.405,18.13,18.13,18.13,NA,90.88
CcalT1M3,cal,C,1,3,9,6.6,1.94,388.84,2.47,10.77,1,1,7.772,0.83,10.94,19.95,2.405,18.13,18.13,18.13,NA,90.88
CcalT1M3,cal,C,1,3,10,10,5.26,388.84,2.47,10.77,1,1,7.772,0.83,10.94,19.95,2.405,18.13,18.13,18.13,NA,90.88
CcalT2M1,cal,C,2,1,1,7.6,4.75,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,2,11.9,10.21,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,3,9.25,5.29,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,4,10.2,2.78,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,5,11.35,3.75,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,6,10.65,3.14,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,7,11.45,3.65,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,8,5.5,2.97,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,9,9.1,1.75,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,10,8.5,1.49,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,11,8.9,1.65,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,12,9,1.7,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,13,9.25,1.84,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,14,11.75,3.92,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,15,12.1,4.25,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,16,12.05,4.2,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,17,13.8,5.88,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,18,15.1,7.15,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,19,10,16.2,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,20,9.6,5.15,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,21,9.45,5.07,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,22,9.95,5.34,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,23,10.15,16.33,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CcalT2M1,cal,C,2,1,24,9.8,5.25,320.037,1.903,8.38,1,1,6.98,1.402,20.36,24.26,1.524,14.99,14.99,14.99,NA,61.79
CfreT1M1,fre,C,1,1,1,0.7,0.55,NA,NA,14.48,1,1,8.76,1.816,21.04,NA,NA,16.47,16.47,16.47,NA,NA
CfreT1M1,fre,C,1,1,2,1.2,0.14,NA,NA,14.48,1,1,8.76,1.816,21.04,NA,NA,16.47,16.47,16.47,NA,NA
CfreT1M1,fre,C,1,1,3,1.9,0.68,NA,NA,14.48,1,1,8.76,1.816,21.04,NA,NA,16.47,16.47,16.47,NA,NA
CfreT1M1,fre,C,1,1,4,4.6,3.56,NA,NA,14.48,1,1,8.76,1.816,21.04,NA,NA,16.47,16.47,16.47,NA,NA
CfreT1M1,fre,C,1,1,5,6,5.52,NA,NA,14.48,1,1,8.76,1.816,21.04,NA,NA,16.47,16.47,16.47,NA,NA
CfreT1M1,fre,C,1,1,6,3.7,4.03,NA,NA,14.48,1,1,8.76,1.816,21.04,NA,NA,16.47,16.47,16.47,NA,NA
CfreT1M1,fre,C,1,1,7,5.5,6.19,NA,NA,14.48,1,1,8.76,1.816,21.04,NA,NA,16.47,16.47,16.47,NA,NA
CfreT1M1,fre,C,1,1,8,3.8,5.01,NA,NA,14.48,1,1,8.76,1.816,21.04,NA,NA,16.47,16.47,16.47,NA,NA
CfreT1M1,fre,C,1,1,9,3.2,4.41,NA,NA,14.48,1,1,8.76,1.816,21.04,NA,NA,16.47,16.47,16.47,NA,NA
CfreT1M1,fre,C,1,1,10,5.8,6.81,NA,NA,14.48,1,1,8.76,1.816,21.04,NA,NA,16.47,16.47,16.47,NA,NA
CfreT1M1,fre,C,1,1,11,6.7,6.45,NA,NA,14.48,1,1,8.76,1.816,21.04,NA,NA,16.47,16.47,16.47,NA,NA
CfreT1M1,fre,C,1,1,12,5.45,6.57,NA,NA,14.48,1,1,8.76,1.816,21.04,NA,NA,16.47,16.47,16.47,NA,NA
CfreT1M1,fre,C,1,1,13,5.4,6.52,NA,NA,14.48,1,1,8.76,1.816,21.04,NA,NA,16.47,16.47,16.47,NA,NA
CfreT1M1,fre,C,1,1,14,7,8.24,NA,NA,14.48,1,1,8.76,1.816,21.04,NA,NA,16.47,16.47,16.47,NA,NA
CfreT1M1,fre,C,1,1,15,14.9,13.82,NA,NA,14.48,1,1,8.76,1.816,21.04,NA,NA,16.47,16.47,16.47,NA,NA
CfreT1M1,fre,C,1,1,16,13.3,12.22,NA,NA,14.48,1,1,8.76,1.816,21.04,NA,NA,16.47,16.47,16.47,NA,NA
CfreT1M1,fre,C,1,1,17,10.6,11.8,NA,NA,14.48,1,1,8.76,1.816,21.04,NA,NA,16.47,16.47,16.47,NA,NA
